"Area","SiteCode","EPANumber","CAMS","Location1(km)","LongitudeLatitude","Status2","Site Info","StartDate","EndDate"
"Attainment Areas","AMSH","483750024","24","-426.4,-511.1","-101.716,35.280","NR","Amarillo SH 136, Amarillo, Potter, TX","2010-04-25",""
"Attainment Areas","ATAM","483750320","320","-444.3,-518.9","-101.909,35.201","NR","Amarillo Texas A&M C320, Amarillo, Potter, TX","2005-04-12",""
"Attainment Areas","BEVL","480250641","641","-78.2,-1293.4","-97.790,28.360","NR","Beeville Airport C641, Beeville, Bee, TX","2005-07-26","2006-10-18"
"Attainment Areas","CLVL","483870648","648","179.4,-704.4","-95.060,33.620","NR","Clarksville NTRD C648/C668, Clarksville, Red River, TX","2005-07-27","2006-12-15"
"Attainment Areas","COLE","481750624","624","-21.8,-1253.2","-97.221,28.721","NR","Coleto C624, Victoria, Goliad, TX","2010-07-10",""
"Attainment Areas","CRSA","483491051","1051","56.7,-882.8","-96.399,32.032","NR","Corsicana Airport C1051, Corsicana, Navarro, TX","2009-06-16",""
"Attainment Areas","EGPS","483230004","319","-339.9,-1248.9","-100.451,28.702","NR","Eagle Pass C319/C655, Eagle Pass, Maverick, TX","2005-08-22",""
"Attainment Areas","FAYT","481490001","601","24.7,-1114.0","-96.745,29.962","NR","Fayette County C601, Roundtop, Fayette, TX","2000-05-18",""
"Attainment Areas","GMNP","481090658","658","-737.5,-867.0","-104.806,31.891","NR","Guadalupe Mountain National Park C658, Salt Flat, Culberson, TX","2006-04-24","2007-01-31"
"Attainment Areas","GRAN","482210001","73","-75.4,-837.0","-97.803,32.442","R","Granbury C73/C681, Granbury, Hood, TX","2000-05-09",""
"Attainment Areas","GRVL","482311006","1006","82.4,-757.8","-96.115,33.153","R","Greenville C1006/A198, Greenville, Hunt, TX","2003-03-19",""
"Attainment Areas","HLTV","482850649","649","6.5,-1171.7","-96.933,29.447","NR","Hallettsville C649, Halletsville, Lavaca, TX","2005-08-01","2007-11-15"
"Attainment Areas","LACT","483739001","1027","223.4,-1028.4","-94.674,30.702","R","Alabama-Coushatta-TX C1027, Livingston, Polk, TX","2005-04-13",""
"Attainment Areas","LBMD","483030325","325","-448.5,-697.6","-101.850,33.591","NR","Lubbock C325, Lubbock, Lubbock, TX","2008-08-20",""
"Attainment Areas","MDOB","482430004","317","-680.2,-1008.6","-104.085,30.668","NR","McDonald Observatory C317, Fort Davis, Jeff Davis, TX","2003-02-24",""
"Attainment Areas","NASS","482730314","314","-29.9,-1398.8","-97.299,27.427","NR","National Seashore C314, Corpus Christi, Kleberg, TX","2002-12-11",""
"Attainment Areas","NEWT","483510639","639","312.2,-1005.3","-93.742,30.885","NR","Newton NTRD C639, Newton, Newton, TX","2005-07-22","2006-11-07"
"Attainment Areas","ODGZ","481351014","1014","-504.5,-886.2","-102.335,31.870","NR","Odessa Gonzales C1014, Odessa, Ector, TX","2002-06-06",""
"Attainment Areas","ODHY","481350003","47","-505.4,-889.9","-102.342,31.836","NR","Odessa Hays C47/C122, Odessa, Ector, TX","1997-01-02",""
"Attainment Areas","PCON","480570657","657","53.9,-1285.3","-96.455,28.434","NR","Port O Connor C657, Port O'Connor, Calhoun, TX","2005-10-01","2007-07-30"
"Attainment Areas","PLTN","480010647","647","122.6,-910.3","-95.706,31.779","NR","Palestine C647, Palestine, Anderson, TX","2005-07-26","2006-10-25"
"Attainment Areas","PNOL","483650627","627","277.2,-842.4","-94.052,32.356","NR","Panola C627, De Berry, Panola, TX","2004-07-05","2006-10-30"
"Attainment Areas","PTX4","480650004","104","-414.4,-505.5","-101.587,35.336","NR","Pantex 4 A104, Amarillo, Carson, TX","1999-07-09",""
"Attainment Areas","PTX5","480650005","105","-413.8,-503.7","-101.581,35.353","NR","Pantex 5 A105/A205, Amarillo, Carson, TX","1999-07-09",""
"Attainment Areas","PTX7","480650007","79","-411.8,-500.4","-101.561,35.383","NR","Pantex 7 C79, Amarillo, Carson, TX","1999-07-12",""
"Attainment Areas","SAGA","484050646","646","268.9,-933.7","-94.170,31.539","NR","San Augustine Airport NTRD C646, San Augustine, San Augustine, TX","2005-07-27","2006-12-15"
"Attainment Areas","WAMB","480370645","645","266.7,-715.4","-94.120,33.500","NR","Wamba NTRD C645, Texarkana, Bowie, TX","2005-07-20","2006-11-07"
"Attainment Areas","WCF2","484850652","652","-134.6,-677.5","-98.460,33.870","NR","Wichita Falls TEXAQSII C652, Wichita Falls, Wichita, TX","2005-08-01","2007-02-14"
"Attainment Areas","WCHF","484850315","315","-145.0,-678.1","-98.573,33.863","NR","Wichita Falls C315, Wichita Falls, Wichita, TX","2005-03-14",""
"Austin-Round Rock (ARR)","ANWC","484530014","3","-73.3,-1069.9","-97.760,30.354","R","Austin Northwest C3, Austin, Travis, TX","1996-06-01",""
"Austin-Round Rock (ARR)","AQSI","484530637","637","-70.9,-1082.0","-97.734,30.246","NR","AQSI Test Site C637, Austin, Travis, TX","2005-07-01","2006-07-26"
"Austin-Round Rock (ARR)","AUDU","484530020","38","-84.0,-1055.4","-97.872,30.483","R","Audubon C38, Austin, Travis, TX","1997-03-10",""
"Austin-Round Rock (ARR)","AUST","484530021","171","-68.9,-1080.1","-97.713,30.263","NR","Austin Webberville Road AF171, Austin, Travis, TX","1999-08-12",""
"Austin-Round Rock (ARR)","DRIP","482090614","614","-104.7,-1085.1","-98.083,30.215","NR","Dripping Springs School C614, Dripping Springs, Hays, TX","2003-03-11",""
"Austin-Round Rock (ARR)","LGTN","484910690","690","-70.5,-1035.0","-97.734,30.666","NR","CAPCOG Lake Georgetown C690, Georgetown, Williamson, TX","2007-09-20","2013-11-13"
"Austin-Round Rock (ARR)","MRCG","480210684","684","-44.4,-1093.9","-97.459,30.141","NR","CAPCOG McKinney Roughs C684, Cedar Creek, Bastrop, TX","2006-08-18",""
"Austin-Round Rock (ARR)","PFLU","484530613","613","-57.9,-1062.7","-97.601,30.419","R","Pflugerville Wastewater C613, Pflugerville, Travis, TX","2002-09-18","2006-11-03"
"Austin-Round Rock (ARR)","RRCG","484910674","674","-65.9,-1049.9","-97.685,30.533","NR","CAPCOG Round Rock C674, Round Rock, Williamson, TX","2006-06-02",""
"Austin-Round Rock (ARR)","SMCG","482090675","675","-92.0,-1121.5","-97.948,29.891","NR","CAPCOG San Marcos C675, San Marcos, Hays, TX","2006-06-02",""
"Austin-Round Rock (ARR)","SMSR","482091675","1675","-90.2,-1124.8","-97.929,29.862","NR","CAPCOG San Marcos Staples Road C1675, San Marcos, Hays, TX","2011-09-20",""
"Austin-Round Rock (ARR)","UTCT","484530636","636","-69.8,-1066.6","-97.724,30.384","NR","UT CEER Test Site C636, Austin, Travis, TX","2005-07-01","2006-07-21"
"Austin-Round Rock (ARR)","ZAVA","484530326","326","-69.6,-1080.7","-97.720,30.258","NR","Zavala C326, Austin, Travis, TX","2009-02-16",""
"Beaumont-Port Arthor (BPA)","BEAU","482450020","54","283.0,-1097.7","-94.077,30.067","NR","Carroll St. Park C54/A130, Beaumont, Jefferson, TX","1997-11-18","2008-07-30"
"Beaumont-Port Arthor (BPA)","BMTC","482450009","2","283.7,-1101.2","-94.071,30.036","R","Beaumont-Lamar C2/A112, Beaumont, Jefferson, TX","1997-12-09",""
"Beaumont-Port Arthor (BPA)","GROV","482450014","119","300.9,-1109.0","-93.896,29.961","NR","Groves A119, Groves, Jefferson, TX","1996-01-01",""
"Beaumont-Port Arthor (BPA)","JEFA","482450018","1019","290.8,-1111.4","-94.001,29.943","R","Jefferson Co. Airport C1019/A317/C2001 , Port Arthur, Jefferson, TX","1994-10-01",""
"Beaumont-Port Arthor (BPA)","JEFC","482450022","64","260.5,-1121.2","-94.317,29.864","R","Hamshire C64/C654, Hamshire, Jefferson, TX","2000-02-15",""
"Beaumont-Port Arthor (BPA)","MARY","482451050","1050","281.7,-1097.8","-94.091,30.067","NR","Beaumont Mary C1050/A33, Beaumont, Jefferson, TX","2010-10-13",""
"Beaumont-Port Arthor (BPA)","NLHS","482451035","1035","289.7,-1107.4","-94.011,29.979","R","Nederland High School C1035, Nederland, Jefferson, TX","2006-08-21",""
"Beaumont-Port Arthor (BPA)","PAMS","482450021","303","299.8,-1113.3","-93.909,29.923","NR","Port Arthur Memorial School C303/689, Port Arthur, Jefferson, TX","2002-03-19",""
"Beaumont-Port Arthor (BPA)","PAWC","482450011","28","292.3,-1116.8","-93.988,29.894","R","Port Arthur West C28/A128/A228, Port Arthur, Jefferson, TX","1997-11-18",""
"Beaumont-Port Arthor (BPA)","PTAR","482450019","131","293.1,-1116.8","-93.979,29.894","NR","City Service Center/PA A131, Port Arthur, Jefferson, TX","1996-05-08",""
"Beaumont-Port Arthor (BPA)","PTNE","482450017","136","295.3,-1105.8","-93.953,29.991","NR","Port Neches A136, Port Neches, Jefferson, TX","1996-01-01",""
"Beaumont-Port Arthor (BPA)","S40S","482450101","640","301.8,-1136.2","-93.897,29.718","R","SETRPC 40 Sabine Pass C640/C654, Sabine Pass, Jefferson, TX","1999-09-20",""
"Beaumont-Port Arthor (BPA)","S42S","483611100","642","302.3,-1084.4","-93.873,30.180","R","SETRPC Mauriceville 42 C642/C311/C665, Port Arthur, Orange, TX","1999-09-20",""
"Beaumont-Port Arthor (BPA)","S43S","482450102","643","290.8,-1111.5","-94.001,29.942","R","SETRPC 43 Jefferson Co Airport C643, Port Arthur, Jefferson, TX","1999-07-05",""
"Beaumont-Port Arthor (BPA)","SEPA","482450628","628","295.6,-1120.0","-93.955,29.865","R","SETRPC Port Arthur C628, Port Arthur, Jefferson, TX","2004-10-06",""
"Beaumont-Port Arthor (BPA)","WORA","483611001","9","313.4,-1094.8","-93.762,30.084","R","West Orange C9/A141, West Orange, Orange, TX","1997-12-10",""
"Big Bend (BB)","BBNP","480430101","67","-602.7,-1167.4","-103.168,29.303","NR","BRAVO Big Bend C67/C316/C656/C691, Big Bend, Brewster, TX","1990-10-01",""
"Corpus Christi (CC)","ARPS","484090659","659","-14.8,-1347.0","-97.149,27.887","NR","Aransas Pass C659, Aransas Pass, San Patricio, TX","2006-01-23",""
"Corpus Christi (CC)","CC01","483550029","170","-41.7,-1355.8","-97.419,27.808","NR","Corpus Hillcrest A170/A168, Corpus Christi, Nueces, TX","1996-01-11",""
"Corpus Christi (CC)","CC02","483550032","98","-43.0,-1356.2","-97.432,27.804","NR","Corpus Christi Huisache C98/A155, Corpus Christi, Nueces, TX","1997-08-06",""
"Corpus Christi (CC)","CCHR","483550660","660","-38.6,-1367.6","-97.387,27.703","NR","Holly Road C660, Corpus Christi, Nueces, TX","2006-01-18",""
"Corpus Christi (CC)","CCPM","483550083","83","-41.8,-1356.3","-97.420,27.803","NR","Corpus Christi Palm C83, Corpus Christi, Nueces, TX","2010-05-18",""
"Corpus Christi (CC)","CCTO","483550026","21","-55.3,-1352.9","-97.555,27.833","R","Corpus Christi Tuloso C21, Corpus Christi, Nueces, TX","1998-03-17",""
"Corpus Christi (CC)","CCWT","483550025","4","-43.3,-1360.6","-97.434,27.765","R","Corpus Christi West C4, Corpus Christi, Nueces, TX","1998-03-18",""
"Corpus Christi (CC)","DONA","483550034","635","-46.4,-1355.4","-97.466,27.811","NR","Dona Park C635/AF199/F299, Corpus Christi, Nueces, TX","2002-10-01",""
"Corpus Christi (CC)","FHRE","483550039","632","-52.7,-1353.6","-97.529,27.827","NR","FHR Easement C632, Corpus Christi, Nueces, TX","2004-11-30",""
"Corpus Christi (CC)","INHB","483550038","631","-52.4,-1351.6","-97.526,27.845","NR","Inner Harbor C631, Corpus Christi, Nueces, TX","2004-11-30",""
"Corpus Christi (CC)","ISID","484090685","685","-24.8,-1345.3","-97.249,27.902","NR","Ingleside C685, Aransas Pass, San Patricio, TX","2007-06-29",""
"Corpus Christi (CC)","JIHL","483550037","630","-43.1,-1354.0","-97.433,27.824","NR","J.I. Hailey C630, Corpus Christi, Nueces, TX","2004-11-30",""
"Corpus Christi (CC)","ODEM","484090686","686","-53.5,-1342.5","-97.538,27.925","NR","Odem C686, Odem, San Patricio, TX","2007-06-28",""
